term,occurrences,rank,product_id,category,name,price_value,quantity,dietary
squash,54,15,90043132,electrical--lifestyle,Bush Squash Seeds,3.53,1 S,
squash,54,16,90238872,fruits-vegetables,FreshCo. Chayote,2.3,350 G,
squash,54,17,90130223,food-cupboard-6,Auga Organic Creamy Butternut Squash Soup with Sweet Potatoes,7.67,400 G,
squash,54,18,13238540,snacks--confectionery,Skittles Squishy Clouds - Fruits,3.75,94g,
squash,54,19,90215709,baby-child-toys,PlayDoh Starwars Squish n Slice Lightsabers Playset,29.9,1 S,
crackers,76,1,11157740,snacks--confectionery,Hup Seng Crackers - Cream (Special),2.5,225g (10 per pack),
crackers,76,2,12374819,snacks--confectionery,Hup Seng Crackers - Cream,2.5,428g,Halal
crackers,76,3,12080992,snacks--confectionery,Julie's Crackers - Butter,2.94,250g,
crackers,76,4,11178701,snacks--confectionery,Hup Seng Crackers - Sugar,2.5,225g (10 per pack),
crackers,76,5,11157804,snacks--confectionery,Hup Seng Crackers - Wholemeal,2.5,225g (10 per pack),
crackers,76,6,12465788,snacks--confectionery,Meiji Plain Crackers - Original,1.68,4 x 26g,
crackers,76,7,13228021,snacks--confectionery,Meiji Plain Cracker - Oat,6.06,416g,Halal
crackers,76,8,200494,snacks--confectionery,Ritz Crackers Box - Original,2.6,300g,
crackers,76,9,13013282,snacks--confectionery,Munchy's Lexus Sandwich Calcium Crackers - Vegetable,3.63,200g,
crackers,76,10,11031742,snacks--confectionery,Khong Guan Biscuits - Sultana,3.55,260g (10 per pack),
crackers,76,11,12081063,snacks--confectionery,Julie's Crackers - Wheat,2.94,250g (10 per pack),
crackers,76,12,13033320,snacks--confectionery,FairPrice Cream Crackers,1.85,220g (10 per pack),
crackers,76,13,13228009,snacks--confectionery,Meiji Plain Cracker - Sesame,6.06,416g,Halal
crackers,76,14,13241039,snacks--confectionery,Jacob's Weetameal Crackers,5.0,15 per pack,Halal
crackers,76,15,11936234,snacks--confectionery,SkyFlakes Crackers - Original,3.03,250g,
crackers,76,16,13289383,snacks--confectionery,FairPrice Crackers - Black Oat,1.45,104g,Halal
crackers,76,17,13197832,snacks--confectionery,Ritz Toasted Chips - Sour Cream & Onion,4.9,229g,
crackers,76,18,10522988,snacks--confectionery,Khong Guan Crackers - Cream,2.35,300g,
crackers,76,19,13289398,snacks--confectionery,FairPrice Crackers - Original Plain,1.45,104g,Halal
crackers,76,20,13216356,snacks--confectionery,Jacob's Cream Crackers Multipack - Original,5.0,504g,Halal
pie,51,1,13177137,frozen,Farmpride Frozen Pizza - Margherita,5.25,210g,Halal
pie,51,2,13033307,frozen,Dr Oetker Ristorante Pizza - Pepperoni,11.55,320g,Halal
pie,51,3,12033504,frozen,Dr Oetker Ristorante Pizza - Hawaii,11.55,355g,Halal
pie,51,4,13177140,frozen,Farmpride Stone Baked & Frozen Pizza - Truffle,5.25,215g,Halal
pie,51,5,122961,frozen,Dr Oetker Ristorante Pizza - Quattro Formaggi,11.55,340g,
pie,51,6,13167686,frozen,Dr.Oetker Ristorante Frozen Pizza - Margherita,11.55,295g,Halal
pie,51,7,122929,frozen,Dr Oetker Ristorante Pizza - Spinach,11.55,390g,
pie,51,8,122979,frozen,Dr Oetker Ristorante Pizza - Funghi,11.55,365g,
pie,51,9,11056659,frozen,Sunshine Frozen Pizza - Hawaiian,7.74,340g (2 per pack),
pie,51,10,10738957,frozen,Dr Oetker Ristorante Pizza - Mozzarella,11.55,355g,
pie,51,11,11089864,frozen,FairPrice Frozen Pizza - Deluxe Cheese,6.85,300g (2 per pack),Halal
pie,51,12,90072946,bakery,Orion Choco Pie 6p (Halal),2.3,180 G,
pie,51,13,11056472,frozen,Sunshine Frozen Pizza - Mozzarella Cheese,7.74,240g (2 per pack),
pie,51,14,11089936,frozen,FairPrice Frozen Pizza - Hawaiian,6.52,300g (2 per pack),Halal
pie,51,15,13202159,bakery,Oreo Cadbury Choco Pie,3.65,168g,
pie,51,16,90072944,bakery,Orion Custard Pie 6p (Halal),2.3,138 G,
pie,51,17,11089979,frozen,FairPrice Frozen Pizza - Pepperoni,6.85,300g (2 per pack),Halal
pie,51,18,13265795,bakery,Lotte Zero Choco Pie,7.2,336g,
pie,51,19,13013193,frozen,Sunshine Frozen Pizza - BBQ Chicken,7.74,340g (2 per pack),Halal
pie,51,20,13167204,bakery,Lotte Choco Pie - Cacao,2.86,6 per pack,
veal,48,1,90031970,frozen,The Cellar Door Veal Stock - Frozen 1 KG,37.0,1 KG,
veal,48,2,209280,frozen,Valley Chef Frozen Chicken Franks,4.5,340.2g,Halal
veal,48,3,13112503,dairy-chilled-eggs,Tamar Valley Dairy Greek Style Yoghurt - Strawberry,2.97,110g,
veal,48,4,13285373,household,FairPrice Bathroom Tissues - Value (2-Ply),2.95,10 X 160 per pack,
veal,48,5,12603773,snacks--confectionery,Kinder Bueno Chocolate Wafer Bar - Milk T2x10 Valuepack,13.95,8 + 2 free per pack,
veal,48,6,13129443,dairy-chilled-eggs,Tamar Valley Dairy Kids Greek Style Yoghurt - Blueberry,2.97,110g,
veal,48,7,13112504,dairy-chilled-eggs,Tamar Valley Dairy Kids Greek Style Yoghurt - Tropical,2.97,110g,
veal,48,8,13171278,dairy-chilled-eggs,Tamar Valley Dairy Greek Style Yoghurt - Raspberry,2.97,110g,
veal,48,9,13112505,dairy-chilled-eggs,Tamar Valley Dairy Kids Greek Style Yoghurt - Vanilla,2.97,110g,
veal,48,10,13067851,household,UIC Big Value Detergent Powder - Anti Bacterial (Citrus Splash),2.29,1kg,
veal,48,11,13013715,household,UIC Big Value Liquid Detergent Refill - Floral,4.1,1.6kg,
veal,48,12,12104114,household,UIC Big Value Detergent Powder - Anti-Bacterial,9.37,5kg,
veal,48,13,12104472,household,UIC Big Value Detergent Powder - Regular (Floral Fruity),9.37,5kg,
veal,48,14,13225033,electrical--lifestyle,Energizer Max Battery Value Pack - AA (15+5),22.31,20 per pack,
veal,48,15,13013712,household,UIC Big Value Concentrated Liquid Detergent Refill-Anti-Bacterial,4.1,1.6kg,
veal,48,16,90012070,household,MTRADE Medium White Plastic Bag with Print Value Pack,1.8,240 G,
veal,48,17,13067850,household,UIC Big Value Detergent Powder - Regular (Floral Fruity),2.29,1kg,
veal,48,18,13013716,household,UIC Big Value Liquid Detergent Refill - Colour Care,4.1,1.6L,
veal,48,19,12698741,household,UIC Big Value Dishwashing Liquid Refill - Lime,1.43,600ml,
veal,48,20,13213032,food-cupboard-6,Nature Valley Crunchy Granola Bar - Variety,5.96,210g,Halal
beverage,42,1,13280708,drinks,[BCRS] Pokka Can Drink - Oolong Tea (No Sugar Added),7.75,12 x 300ml,Halal
beverage,42,2,12700043,drinks,Milo Chocolate Malt Milk UHT Packet Drink,16.95,24 x 200ml (CTN),
beverage,42,3,10125966,drinks,Pokka Packet Drink -  Green Tea,11.9,24 x 250ml (CTN),Halal
beverage,42,4,13280982,drinks,[BCRS] Pokka Bottle Drink - Jasmine Green Tea,2.25,1.5L,Halal
beverage,42,5,12714896,drinks,[BCRS] 100 Plus Isotonic Can Drink - Original,16.81,24 x 325ml,Halal
beverage,42,6,13281379,drinks,[BCRS] Coca-Cola Mini Can Drink - Classic,5.25,6 x 180ml,Halal
beverage,42,7,12714768,drinks,[BCRS] FairPrice Pure Drinking Bottle Water,7.2,24 x 600ml,
beverage,42,8,10003037,drinks,Pokka Packet Drink - Jasmine Green Tea,3.6,6 x 250ml,Halal
beverage,42,9,12714947,drinks,[BCRS] Dasani Drinking Bottle Water,8.4,12 x 1.5L,
beverage,42,10,12708770,drinks,Milo Chocolate Malt Milk UHT Packet Drink -Less Sugar,19.5,24 x 200ml (CTN),Halal
beverage,42,11,13280991,drinks,[BCRS] Pokka Can Drink - Jasmine Green Tea,4.25,6 x 300ml,Halal
beverage,42,12,13281050,drinks,[BCRS] Pokka Can Drink - Jasmine Green Tea,7.75,12 x 300ml (CTN),Halal
beverage,42,13,10020227,drinks,Yeo's Packet Drink - Chrysanthemum Tea (Not So Sweet),11.6,24 x 250ml (CTN),Halal
beverage,42,14,12714945,drinks,[BCRS] Fuze Tea Flavoured Tea Bottle Drink - Passionfruit,27.0,12 x 1.5L,Halal
